Instrument;Date de début;Date de fin;Taux
spot;02/07/2020;02/08/2020;0,34844
spot;02/07/2020;02/09/2020;0,43188
spot;02/07/2020;04/10/2020;0,53394
forward;02/08/2020;02/11/2020;0,561
forward;02/09/2020;02/12/2020;0,617
forward;04/10/2020;03/01/2021;0,7075
forward;02/11/2020;02/02/2021;0,73
forward;02/12/2020;02/03/2021;0,745
forward;03/01/2021;04/04/2021;0,765
forward;02/02/2021;03/05/2021;0,787
forward;02/03/2021;02/06/2021;0,817
forward;04/04/2021;04/07/2021;0,85
forward;04/07/2021;03/10/2021;0,957
forward;04/07/2021;03/01/2022;1,21
forward;04/07/2021;02/07/2022;1,495
forward;02/07/2022;02/07/2025;1,588
forward;02/07/2025;02/07/2030;1,745
forward;02/07/2030;02/07/2040;1,887
forward;02/07/2040;02/07/2050;2,102
